date,time,cpu-thermal,gpu-thermal,cv0-thermal,cv1-thermal,cv2-thermal,soc0-thermal,soc1-thermal,soc2-thermal,tj-thermal
2026-08-31,22:59:02,58.812,58.812,NA,NA,NA,58.312,58.125,57.656,58.812
2026-08-31,22:59:15,58.875,58.968,NA,NA,NA,58.156,58.125,57.593,58.875
2026-08-31,23:06:24,58.500,58.843,NA,NA,NA,58.281,58.156,57.562,58.843
2026-08-31,23:10:54,58.531,58.906,NA,NA,NA,58.031,58.093,57.468,58.906
2026-08-31,23:20:01,58.656,58.593,NA,NA,NA,58.000,58.000,57.468,58.656
2026-08-31,23:21:01,58.406,58.812,NA,NA,NA,58.062,58.031,57.437,58.812
2026-08-31,23:22:01,58.343,58.718,NA,NA,NA,58.156,58.031,57.531,58.718
2026-08-31,23:23:01,58.593,58.687,NA,NA,NA,58.187,58.093,57.593,58.687
2026-08-31,23:24:01,58.718,58.687,NA,NA,NA,57.937,58.093,57.406,58.718
2026-08-31,23:25:01,58.500,58.656,NA,NA,NA,58.031,58.093,57.500,58.656
2026-08-31,23:26:01,58.625,58.625,NA,NA,NA,58.062,58.125,57.593,58.625
2026-08-31,23:27:01,59.000,58.593,NA,NA,NA,57.937,58.218,57.406,59.000
2026-08-31,23:28:01,58.625,58.875,NA,NA,NA,58.125,58.031,57.500,58.875
2026-08-31,23:29:01,58.656,58.562,NA,NA,NA,58.250,58.250,57.562,58.656
2026-08-31,23:30:01,58.531,58.500,NA,NA,NA,58.218,58.187,57.500,58.531
2026-08-31,23:31:01,58.531,58.531,NA,NA,NA,58.031,57.968,57.343,58.531
2026-08-31,23:32:01,58.750,58.468,NA,NA,NA,58.062,57.968,57.437,58.750
2026-08-31,23:33:01,58.656,58.437,NA,NA,NA,58.156,58.062,57.468,58.656
2026-08-31,23:34:01,58.687,58.500,NA,NA,NA,58.156,58.125,57.593,58.687
2026-08-31,23:35:01,58.343,58.562,NA,NA,NA,58.062,57.968,57.500,58.562
2026-08-31,23:36:01,58.750,58.750,NA,NA,NA,58.218,58.125,57.593,58.750
2026-08-31,23:37:01,58.531,58.593,NA,NA,NA,58.125,58.031,57.562,58.593
2026-08-31,23:38:01,58.406,58.500,NA,NA,NA,58.062,58.000,57.531,58.593
2026-08-31,23:39:01,59.093,59.093,NA,NA,NA,58.312,58.343,57.781,59.093
2026-08-31,23:40:01,58.468,58.718,NA,NA,NA,58.343,58.187,57.625,58.718
2026-08-31,23:41:01,58.531,58.781,NA,NA,NA,58.156,58.125,57.562,58.781
2026-08-31,23:42:01,58.562,58.500,NA,NA,NA,58.187,58.125,57.562,58.562
2026-08-31,23:43:01,58.718,58.500,NA,NA,NA,57.968,58.250,57.406,58.718
2026-08-31,23:44:01,58.718,58.437,NA,NA,NA,58.156,58.125,57.500,58.718
2026-08-31,23:45:01,58.562,58.562,NA,NA,NA,58.031,58.062,57.500,58.562
2026-08-31,23:46:02,58.468,58.875,NA,NA,NA,58.125,58.031,57.531,58.531
2026-08-31,23:47:01,58.468,58.500,NA,NA,NA,57.968,58.062,57.375,58.500
2026-08-31,23:48:01,58.468,58.531,NA,NA,NA,58.062,58.218,57.468,58.687
2026-08-31,23:49:01,58.718,58.531,NA,NA,NA,58.062,58.000,57.468,58.718
2026-08-31,23:50:01,58.593,58.437,NA,NA,NA,58.093,57.968,57.468,58.437
2026-08-31,23:51:01,58.562,58.468,NA,NA,NA,58.125,58.031,57.468,58.593
2026-08-31,23:52:01,58.687,58.500,NA,NA,NA,58.156,58.031,57.562,58.718
2026-08-31,23:53:01,58.500,58.500,NA,NA,NA,58.062,58.000,57.625,58.500
2026-08-31,23:54:01,58.531,58.781,NA,NA,NA,58.062,58.000,57.437,58.781
2026-08-31,23:55:01,58.718,58.843,NA,NA,NA,58.031,57.968,57.500,58.843
2026-08-31,23:56:01,58.718,58.781,NA,NA,NA,58.156,58.093,57.500,58.781
2026-08-31,23:57:01,58.812,58.656,NA,NA,NA,58.218,58.125,57.468,59.000
2026-08-31,23:58:02,58.562,58.625,NA,NA,NA,58.000,58.000,57.406,58.625
2026-08-31,23:59:01,58.406,58.625,NA,NA,NA,58.156,58.125,57.531,58.625
