date,time,cpu-thermal
2026-09-02,00:01:01,63.000
2026-09-02,00:02:01,63.281
2026-09-02,00:03:01,63.187
2026-09-02,00:04:01,63.093
2026-09-02,00:05:01,63.312
2026-09-02,00:06:01,63.125
2026-09-02,00:07:02,63.187
2026-09-02,00:08:01,63.000
2026-09-02,00:09:01,63.031
2026-09-02,00:10:01,63.187
2026-09-02,00:11:01,63.187
2026-09-02,00:12:01,63.125
2026-09-02,00:13:01,63.062
2026-09-02,00:14:01,63.031
2026-09-02,00:15:01,62.843
2026-09-02,00:16:01,62.781
2026-09-02,00:17:01,62.968
2026-09-02,00:18:01,63.000
2026-09-02,00:19:01,63.062
2026-09-02,00:20:01,63.000
2026-09-02,00:21:01,63.062
2026-09-02,00:22:01,63.125
2026-09-02,00:23:01,62.937
2026-09-02,00:24:01,63.125
2026-09-02,00:25:01,63.093
2026-09-02,00:26:01,63.343
2026-09-02,00:27:01,63.000
2026-09-02,00:28:01,63.218
2026-09-02,00:29:01,62.937
2026-09-02,00:30:02,63.031
2026-09-02,00:31:01,63.062
2026-09-02,00:32:01,63.406
2026-09-02,00:33:01,62.906
2026-09-02,00:34:01,63.093
2026-09-02,00:35:01,62.812
2026-09-02,00:36:01,63.062
2026-09-02,00:37:01,62.843
2026-09-02,00:38:01,63.062
2026-09-02,00:39:01,63.093
2026-09-02,00:40:01,63.093
2026-09-02,00:41:01,62.812
2026-09-02,00:42:02,63.031
2026-09-02,00:43:01,62.750
2026-09-02,00:44:01,62.968
2026-09-02,00:45:01,62.687
2026-09-02,00:46:01,63.062
2026-09-02,00:47:01,62.875
2026-09-02,00:48:01,62.812
2026-09-02,00:49:01,62.906
2026-09-02,00:50:01,62.812
2026-09-02,00:51:01,62.687
2026-09-02,00:52:01,63.187
2026-09-02,00:53:01,62.875
2026-09-02,00:54:02,62.656
2026-09-02,00:55:01,62.750
2026-09-02,00:56:01,62.875
2026-09-02,00:57:01,62.656
2026-09-02,00:58:01,63.031
2026-09-02,00:59:01,62.843
2026-09-02,01:00:01,62.562
2026-09-02,01:01:01,62.656
2026-09-02,01:02:01,63.000
2026-09-02,01:03:01,62.593
2026-09-02,01:04:01,62.687
2026-09-02,01:05:02,62.906
2026-09-02,01:06:01,62.593
2026-09-02,01:07:01,62.562
2026-09-02,01:08:01,62.812
2026-09-02,01:09:01,62.625
2026-09-02,01:10:01,62.656
2026-09-02,01:11:01,62.406
2026-09-02,01:12:01,62.625
2026-09-02,01:13:01,62.562
2026-09-02,01:14:01,62.562
2026-09-02,01:15:01,62.593
2026-09-02,01:16:01,62.875
2026-09-02,01:17:02,62.687
2026-09-02,01:18:01,62.750
2026-09-02,01:19:01,62.812
2026-09-02,01:20:01,62.437
2026-09-02,01:21:01,62.718
2026-09-02,01:22:01,62.593
2026-09-02,01:23:01,62.656
2026-09-02,01:24:01,62.468
2026-09-02,01:25:01,62.718
2026-09-02,01:26:01,62.468
2026-09-02,01:27:01,62.750
2026-09-02,01:28:01,62.531
2026-09-02,01:29:02,62.687
2026-09-02,01:30:01,62.687
2026-09-02,01:31:01,63.031
2026-09-02,01:32:01,62.937
2026-09-02,01:33:01,62.750
2026-09-02,01:34:01,62.468
2026-09-02,01:35:01,62.531
2026-09-02,01:36:01,62.531
2026-09-02,01:37:01,62.906
2026-09-02,01:38:01,62.562
2026-09-02,01:39:01,62.468
2026-09-02,01:40:01,63.000
2026-09-02,01:41:02,62.500
2026-09-02,01:42:01,62.781
2026-09-02,01:43:01,63.062
2026-09-02,01:44:01,62.750
2026-09-02,01:45:01,62.875
2026-09-02,01:46:01,62.625
2026-09-02,01:47:01,61.875
2026-09-02,01:48:01,61.312
2026-09-02,01:49:01,60.750
2026-09-02,01:50:01,60.406
2026-09-02,01:51:01,60.187
2026-09-02,01:52:01,60.062
2026-09-02,01:53:02,60.031
2026-09-02,01:54:01,59.687
2026-09-02,01:55:01,59.625
2026-09-02,01:56:01,59.593
2026-09-02,01:57:01,59.781
2026-09-02,01:58:01,59.468
2026-09-02,01:59:01,59.343
2026-09-02,02:00:01,58.937
2026-09-02,02:01:01,58.968
2026-09-02,02:02:01,58.625
2026-09-02,02:03:01,58.718
2026-09-02,02:04:01,58.812
2026-09-02,02:05:01,58.718
2026-09-02,02:06:02,58.625
2026-09-02,02:07:01,58.687
2026-09-02,02:08:01,58.562
2026-09-02,02:09:01,58.250
2026-09-02,02:10:01,58.406
2026-09-02,02:11:01,57.968
2026-09-02,02:12:01,58.218
2026-09-02,02:13:01,58.093
2026-09-02,02:14:01,58.031
2026-09-02,02:15:01,58.218
2026-09-02,02:16:01,57.906
2026-09-02,02:17:01,57.968
2026-09-02,02:18:01,57.437
2026-09-02,02:19:02,57.781
2026-09-02,02:20:01,57.500
2026-09-02,02:21:01,57.531
2026-09-02,02:22:01,57.562
2026-09-02,02:23:01,57.593
2026-09-02,02:24:01,57.218
2026-09-02,02:25:01,57.375
2026-09-02,02:26:01,57.281
2026-09-02,02:27:01,57.281
2026-09-02,02:28:01,57.750
2026-09-02,02:29:01,57.000
2026-09-02,02:30:01,57.250
2026-09-02,02:31:01,57.375
2026-09-02,02:32:01,56.937
2026-09-02,02:33:01,57.125
2026-09-02,02:34:01,57.125
2026-09-02,02:35:01,57.031
2026-09-02,02:36:01,57.125
2026-09-02,02:37:01,56.781
2026-09-02,02:38:01,56.718
2026-09-02,02:39:01,56.906
2026-09-02,02:40:01,56.781
2026-09-02,02:41:01,56.937
2026-09-02,02:42:01,57.187
2026-09-02,02:43:01,56.812
2026-09-02,02:44:02,56.875
2026-09-02,02:45:01,56.750
2026-09-02,02:46:01,56.937
2026-09-02,02:47:01,56.812
2026-09-02,02:48:01,56.468
2026-09-02,02:49:01,56.875
2026-09-02,02:50:01,57.000
2026-09-02,02:51:01,56.656
2026-09-02,02:52:01,56.843
2026-09-02,02:53:01,56.781
2026-09-02,02:54:01,56.687
2026-09-02,02:55:01,56.656
2026-09-02,02:56:01,56.500
2026-09-02,02:57:02,56.843
2026-09-02,02:58:01,56.656
2026-09-02,02:59:01,56.343
2026-09-02,03:00:01,56.937
2026-09-02,03:01:01,56.687
2026-09-02,03:02:01,56.750
2026-09-02,03:03:01,56.375
2026-09-02,03:04:01,56.750
2026-09-02,03:05:01,56.687
2026-09-02,03:06:01,56.406
2026-09-02,03:07:01,56.562
2026-09-02,03:08:01,56.531
2026-09-02,03:09:01,56.875
2026-09-02,03:10:02,56.718
2026-09-02,03:11:01,56.531
2026-09-02,03:12:01,56.437
2026-09-02,03:13:01,56.625
2026-09-02,03:14:01,56.625
2026-09-02,03:15:01,56.812
2026-09-02,03:16:01,56.656
2026-09-02,03:17:01,56.437
2026-09-02,03:18:01,56.406
2026-09-02,03:19:01,56.656
2026-09-02,03:20:01,56.656
2026-09-02,03:21:01,56.531
